Название монеты,Тикер,Ссылка,Цена
Mina,MINA,https://coinmarketcap.com/currencies/mina/,2.20
Pax Dollar,USDP,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Neutrino USD,USDN,https://coinmarketcap.com/currencies/neutrino-usd/,0.96
Amp,AMP,https://coinmarketcap.com/currencies/amp/,0.02
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,27.57
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,5.13
Decred,DCR,https://coinmarketcap.com/currencies/decred/,64.41
Compound,COMP,https://coinmarketcap.com/currencies/compound/,130.72
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.10
Kyber Network Crystal v2,KNC,https://coinmarketcap.com/currencies/kyber-network-crystal-v2/,4.82
Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/,0.16
Kadena,KDA,https://coinmarketcap.com/currencies/kadena/,4.82
Holo,HOT,https://coinmarketcap.com/currencies/holo/,0.00
Moonbeam,GLMR,https://coinmarketcap.com/currencies/moonbeam/,3.47
Oasis Network,ROSE,https://coinmarketcap.com/currencies/oasis-network/,0.22
Audius,AUDIO,https://coinmarketcap.com/currencies/audius/,1.20
ICON,ICX,https://coinmarketcap.com/currencies/icon/,0.80
Secret,SCRT,https://coinmarketcap.com/currencies/secret/,4.41
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,0.06
0x,ZRX,https://coinmarketcap.com/currencies/0x/,0.83
BORA,BORA,https://coinmarketcap.com/currencies/bora/,0.7946
yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance/,18672.45
IoTeX,IOTX,https://coinmarketcap.com/currencies/iotex/,0.07132
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix-network-token/,5.92
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,6.39
Anchor Protocol,ANC,https://coinmarketcap.com/currencies/anchor-protocol/,1.91
OMG Network,OMG,https://coinmarketcap.com/currencies/omg/,4.53
SKALE Network,SKL,https://coinmarketcap.com/currencies/skale-network/,0.1813
PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,1936.40
Gnosis,GNO,https://coinmarketcap.com/currencies/gnosis-gno/,328.80
Serum,SRM,https://coinmarketcap.com/currencies/serum/,2.33
Symbol,XYM,https://coinmarketcap.com/currencies/symbol/,0.11
Ankr,ANKR,https://coinmarketcap.com/currencies/ankr/,0.07
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,1.43
SXP,SXP,https://coinmarketcap.com/currencies/sxp/,1.22
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,33.01
Bancor,BNT,https://coinmarketcap.com/currencies/bancor/,2.19
Dogelon Mars,ELON,https://coinmarketcap.com/currencies/dogelon/,0.00
Livepeer,LPT,https://coinmarketcap.com/currencies/livepeer/,26.65
IOST,IOST,https://coinmarketcap.com/currencies/iostoken/,0.03
WAX,WAXP,https://coinmarketcap.com/currencies/wax/,0.27
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin/,0.05
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin/,0.01
Celsius,CEL,https://coinmarketcap.com/currencies/celsius/,2.13
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,6.46
JUST,JST,https://coinmarketcap.com/currencies/just/,0.07
Frax Share,FXS,https://coinmarketcap.com/currencies/frax-share/,28.90
Acala Token,ACA,https://coinmarketcap.com/currencies/acala/,1.26
Ontology,ONT,https://coinmarketcap.com/currencies/ontology/,0.53
WOO Network,WOO,https://coinmarketcap.com/currencies/wootrade/,0.44
renBTC,RENBTC,https://coinmarketcap.com/currencies/renbtc/,39648.51
Horizen,ZEN,https://coinmarketcap.com/currencies/horizen/,36.36
APENFT,NFT,https://coinmarketcap.com/currencies/apenft/,0.00
Render Token,RNDR,https://coinmarketcap.com/currencies/render-token/,1.82
SushiSwap,SUSHI,https://coinmarketcap.com/currencies/sushiswap/,3.39
SwissBorg,CHSB,https://coinmarketcap.com/currencies/swissborg/,0.42
Storj,STORJ,https://coinmarketcap.com/currencies/storj/,1.08
Rally,RLY,https://coinmarketcap.com/currencies/rally/,0.16
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,0.99
Golem,GLM,https://coinmarketcap.com/currencies/golem-network-tokens/,0.42
Immutable X,IMX,https://coinmarketcap.com/currencies/immutable-x/,1.75
UMA,UMA,https://coinmarketcap.com/currencies/uma/,6.14
Voyager Token,VGX,https://coinmarketcap.com/currencies/voyager-token/,1.40
Velas,VLX,https://coinmarketcap.com/currencies/velas/,0.17
Polymath,POLY,https://coinmarketcap.com/currencies/polymath-network/,0.43
Revain,REV,https://coinmarketcap.com/currencies/revain/,0.00
Hive,HIVE,https://coinmarketcap.com/currencies/hive-blockchain/,0.93
Braintrust,BTRST,https://coinmarketcap.com/currencies/braintrust/,4.15
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte/,0.02
Spell Token,SPELL,https://coinmarketcap.com/currencies/spell-token/,0.00
Ren,REN,https://coinmarketcap.com/currencies/ren/,0.35
Casper,CSPR,https://coinmarketcap.com/currencies/casper/,0.08
Syscoin,SYS,https://coinmarketcap.com/currencies/syscoin/,0.54
Keep Network,KEEP,https://coinmarketcap.com/currencies/keep-network/,0.52
CEEK VR,CEEK,https://coinmarketcap.com/currencies/ceek-vr/,0.46
Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,1.17
Illuvium,ILV,https://coinmarketcap.com/currencies/illuvium/,514.02
Celer Network,CELR,https://coinmarketcap.com/currencies/celer-network/,0.05
Nervos Network,CKB,https://coinmarketcap.com/currencies/nervos-network/,0.01
Perpetual Protocol,PERP,https://coinmarketcap.com/currencies/perpetual-protocol/,4.26
Bridge Oracle,BRG,https://coinmarketcap.com/currencies/bridge-oracle/,0.04
PlayDapp,PLA,https://coinmarketcap.com/currencies/playdapp/,0.88
Ocean Protocol,OCEAN,https://coinmarketcap.com/currencies/ocean-protocol/,0.51
Flux,FLUX,https://coinmarketcap.com/currencies/zel/,1.33
Telcoin,TEL,https://coinmarketcap.com/currencies/telcoin/,0.01
dYdX,DYDX,https://coinmarketcap.com/currencies/dydx/,4.54
Ethereum Name Service,ENS,https://coinmarketcap.com/currencies/ethereum-name-service/,14.23
WINkLink,WIN,https://coinmarketcap.com/currencies/wink/,0.00
DigitalBits,XDB,https://coinmarketcap.com/currencies/digitalbits/,0.29
Conflux,CFX,https://coinmarketcap.com/currencies/conflux-network/,0.16
MXC,MXC,https://coinmarketcap.com/currencies/mxc/,0.10
Lisk,LSK,https://coinmarketcap.com/currencies/lisk/,2.15
Nano,XNO,https://coinmarketcap.com/currencies/nano/,2.06
Vulcan Forged PYR,PYR,https://coinmarketcap.com/currencies/vulcan-forged-pyr/,11.26
Persistence,XPRT,https://coinmarketcap.com/currencies/persistence/,2.72
Coin98,C98,https://coinmarketcap.com/currencies/coin98/,1.44
Injective,INJ,https://coinmarketcap.com/currencies/injective-protocol/,4.67
Raydium,RAY,https://coinmarketcap.com/currencies/raydium/,2.61
NuCypher,NU,https://coinmarketcap.com/currencies/nucypher/,0.37
Dent,DENT,https://coinmarketcap.com/currencies/dent/,0.00
Fetch.ai,FET,https://coinmarketcap.com/currencies/fetch/,0.34
MX TOKEN,MX,https://coinmarketcap.com/currencies/mx-token/,2.55
Ultra,UOS,https://coinmarketcap.com/currencies/ultra/,0.90
Origin Protocol,OGN,https://coinmarketcap.com/currencies/origin-protocol/,0.64
Powerledger,POWR,https://coinmarketcap.com/currencies/power-ledger/,0.51
Chia,XCH,https://coinmarketcap.com/currencies/chia-network/,65.93
ConstitutionDAO,PEOPLE,https://coinmarketcap.com/currencies/constitutiondao/,0.05
MediBloc,MED,https://coinmarketcap.com/currencies/medibloc/,0.04
Chromia,CHR,https://coinmarketcap.com/currencies/chromia/,0.42
Pundi X (New),PUNDIX,https://coinmarketcap.com/currencies/pundix-new/,0.91
JOE,JOE,https://coinmarketcap.com/currencies/joe/,1.06
SuperFarm,SUPER,https://coinmarketcap.com/currencies/superfarm/,0.58
Gemini Dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,0.99
Tribe,TRIBE,https://coinmarketcap.com/currencies/tribe/,0.51
XYO,XYO,https://coinmarketcap.com/currencies/xyo/,0.02
COTI,COTI,https://coinmarketcap.com/currencies/coti/,0.22
Ardor,ARDR,https://coinmarketcap.com/currencies/ardor/,0.23
Constellation,DAG,https://coinmarketcap.com/currencies/constellation/,0.18
WazirX,WRX,https://coinmarketcap.com/currencies/wazirx/,0.59
Ontology Gas,ONG,https://coinmarketcap.com/currencies/ontology-gas/,0.72
HEX,HEX,https://coinmarketcap.com/currencies/hex/,0.1312
Lido stETH,STETH,https://coinmarketcap.com/currencies/steth/,2957.93
Wrapped TRON,WTRX,https://coinmarketcap.com/currencies/wrapped-tron/,0.06619
Bitcoin BEP2,BTCB,https://coinmarketcap.com/currencies/bitcoin-bep2/,39619.47
Frax,FRAX,https://coinmarketcap.com/currencies/frax/,0.9983
Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,2.01
Wrapped BNB,WBNB,https://coinmarketcap.com/currencies/wbnb/,401.06
DeFiChain,DFI,https://coinmarketcap.com/currencies/defichain/,4.25
BitTorrent,BTTOLD,https://coinmarketcap.com/currencies/bittorrent/,0.001823
Chain,XCN,https://coinmarketcap.com/currencies/chain/,0.09566
Huobi BTC,HBTC,https://coinmarketcap.com/currencies/huobi-btc/,39653.06
Osmosis,OSMO,https://coinmarketcap.com/currencies/osmosis/,5.11
LINK,LN,https://coinmarketcap.com/currencies/link/,131.65
Safe,SAFE,https://coinmarketcap.com/currencies/safe/,37.24
BitDAO,BIT,https://coinmarketcap.com/currencies/bitdao/,1.26
Liquity USD,LUSD,https://coinmarketcap.com/currencies/liquity-usd/,1.00
NXM,NXM,https://coinmarketcap.com/currencies/nxm/,99.73
Counos X,CCXX,https://coinmarketcap.com/currencies/counos-x/,33.11
Astar,ASTR,https://coinmarketcap.com/currencies/astar/,0.19
Radio Caca,RACA,https://coinmarketcap.com/currencies/radio-caca/,0.00
Tether Gold,XAUT,https://coinmarketcap.com/currencies/tether-gold/,1935.03
WEMIX,WEMIX,https://coinmarketcap.com/currencies/wemix/,3.67
Everscale,EVER,https://coinmarketcap.com/currencies/everscale/,0.36
The Transfer Token,TTT,https://coinmarketcap.com/currencies/the-transfer-token/,4.19
HUSD,HUSD,https://coinmarketcap.com/currencies/husd/,1.00
WhiteCoin,XWC,https://coinmarketcap.com/currencies/whitecoin/,0.51
Wrapped Velas,WVLX,https://coinmarketcap.com/currencies/wrapped-velas/,0.16
Sapphire,SAPP,https://coinmarketcap.com/currencies/sapphire/,0.65
Rocket Pool,RPL,https://coinmarketcap.com/currencies/rocket-pool/,32.71
VVS Finance,VVS,https://coinmarketcap.com/currencies/vvs-finance/,0.00
Chainbing,CBG,https://coinmarketcap.com/currencies/chainbing/,10.10
KOK,KOK,https://coinmarketcap.com/currencies/keystone-of-opportunity-knowledge/,3.05
Pirate Chain,ARRR,https://coinmarketcap.com/currencies/pirate-chain/,1.68
Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,3.03
SafeMoon,SAFEMOON,https://coinmarketcap.com/currencies/safemoon/,0.00
Decentralized Social,DESO,https://coinmarketcap.com/currencies/deso/,34.46
Bitpanda Ecosystem Token,BEST,https://coinmarketcap.com/currencies/bitpanda-ecosystem-token/,0.84
Fruits,FRTS,https://coinmarketcap.com/currencies/fruits-eco/,0.01
Maple,MPL,https://coinmarketcap.com/currencies/maple/,60.74
MobileCoin,MOB,https://coinmarketcap.com/currencies/mobilecoin/,3.57
Biswap,BSW,https://coinmarketcap.com/currencies/biswap/,1.14
Humanscape,HUM,https://coinmarketcap.com/currencies/humanscape/,0.33
Aurora,AURORA,https://coinmarketcap.com/currencies/aurora-near/,10.36
MVL,MVL,https://coinmarketcap.com/currencies/mvl/,0.01
Mirrored ProShares VIX,mVIXY,https://coinmarketcap.com/currencies/mirrored-proshares-vix-short-term-futures-etf/,106.15
Sologenic,SOLO,https://coinmarketcap.com/currencies/sologenic/,0.56
Status,SNT,https://coinmarketcap.com/currencies/status/,0.06
Anyswap,ANY,https://coinmarketcap.com/currencies/anyswap/,11.76
Orbs,ORBS,https://coinmarketcap.com/currencies/orbs/,0.08
Yield Guild Games,YGG,https://coinmarketcap.com/currencies/yield-guild-games/,1.90
Request,REQ,https://coinmarketcap.com/currencies/request/,0.21
BinaryX,BNX,https://coinmarketcap.com/currencies/binaryx/,104.75
Moonriver,MOVR,https://coinmarketcap.com/currencies/moonriver/,52.35
Function X,FX,https://coinmarketcap.com/currencies/function-x/,0.50
OriginTrail,TRAC,https://coinmarketcap.com/currencies/origintrail/,0.56
Civic,CVC,https://coinmarketcap.com/currencies/civic/,0.30
Mines of Dalarnia,DAR,https://coinmarketcap.com/currencies/mines-of-dalarnia/,1.07
Divi,DIVI,https://coinmarketcap.com/currencies/divi/,0.07
Boba Network,BOBA,https://coinmarketcap.com/currencies/boba-network/,1.23
MyNeighborAlice,ALICE,https://coinmarketcap.com/currencies/myneighboralice/,6.34
DAO Maker,DAO,https://coinmarketcap.com/currencies/dao-maker/,2.75
MetisDAO,METIS,https://coinmarketcap.com/currencies/metisdao/,65.04
Mdex,MDX,https://coinmarketcap.com/currencies/mdex/,0.22
Reserve Rights,RSR,https://coinmarketcap.com/currencies/reserve-rights/,0.01
MOBOX,MBOX,https://coinmarketcap.com/currencies/mobox/,2.36
StormX,STMX,https://coinmarketcap.com/currencies/stormx/,0.02
aelf,ELF,https://coinmarketcap.com/currencies/aelf/,0.34
TitanSwap,TITAN,https://coinmarketcap.com/currencies/titanswap/,3.42
Telos,TLOS,https://coinmarketcap.com/currencies/telos/,0.66
VeThor Token,VTHO,https://coinmarketcap.com/currencies/vethor-token/,0.00
UFO Gaming,UFO,https://coinmarketcap.com/currencies/ufo-gaming/,0.00
Cartesi,CTSI,https://coinmarketcap.com/currencies/cartesi/,0.34
LUKSO,LYXe,https://coinmarketcap.com/currencies/lukso/,11.63
Bitcoin Standard Hashrate Token,BTCST,https://coinmarketcap.com/currencies/btc-standard-hashrate-token/,15.39
Orbit Chain,ORC,https://coinmarketcap.com/currencies/orbit-chain/,0.29
Metal,MTL,https://coinmarketcap.com/currencies/metal/,2.62
Rari Governance Token,RGT,https://coinmarketcap.com/currencies/rari-governance-token/,13.91
Steem,STEEM,https://coinmarketcap.com/currencies/steem/,0.43
USDX [Kava],USDX,https://coinmarketcap.com/currencies/usdx-kava/,0.97
Aragon,ANT,https://coinmarketcap.com/currencies/aragon/,4.26
Orchid,OXT,https://coinmarketcap.com/currencies/orchid/,0.24
Dero,DERO,https://coinmarketcap.com/currencies/dero/,13.41
Reef,REEF,https://coinmarketcap.com/currencies/reef/,0.01
Metahero,HERO,https://coinmarketcap.com/currencies/metahero/,0.03
Verge,XVG,https://coinmarketcap.com/currencies/verge/,0.01
inSure DeFi,SURE,https://coinmarketcap.com/currencies/insure/,0.01
1eco,1ECO,https://coinmarketcap.com/currencies/1eco/,6.21
Alpha Venture DAO,ALPHA,https://coinmarketcap.com/currencies/alpha-finance-lab/,0.36
Biconomy,BICO,https://coinmarketcap.com/currencies/biconomy/,1.30
Energy Web Token,EWT,https://coinmarketcap.com/currencies/energy-web-token/,5.26
API3,API3,https://coinmarketcap.com/currencies/api3/,4.28
Ellipsis,EPS,https://coinmarketcap.com/currencies/ellipsis/,0.22
Bifrost (BFC),BFC,https://coinmarketcap.com/currencies/bifrost/,0.14
Augur,REP,https://coinmarketcap.com/currencies/augur/,14.02
iExec RLC,RLC,https://coinmarketcap.com/currencies/rlc/,1.92
Sun (New),SUN,https://coinmarketcap.com/currencies/sun-token/,0.01
BakeryToken,BAKE,https://coinmarketcap.com/currencies/bakerytoken/,0.79
XSGD,XSGD,https://coinmarketcap.com/currencies/xsgd/,0.72
Hxro,HXRO,https://coinmarketcap.com/currencies/hxro/,0.36
HedgeTrade,HEDG,https://coinmarketcap.com/currencies/hedgetrade/,0.43
Numeraire,NMR,https://coinmarketcap.com/currencies/numeraire/,25.49
Locus Chain,LOCUS,https://coinmarketcap.com/currencies/locus-chain/,0.1705
Beta Finance,BETA,https://coinmarketcap.com/currencies/beta-finance/,0.3818
Stratis,STRAX,https://coinmarketcap.com/currencies/stratis/,1.07
Ark,ARK,https://coinmarketcap.com/currencies/ark/,1.04
NKN,NKN,https://coinmarketcap.com/currencies/nkn/,0.1998
Alchemy Pay,ACH,https://coinmarketcap.com/currencies/alchemy-pay/,0.03205
GXChain,GXC,https://coinmarketcap.com/currencies/gxchain/,1.86
Mango,MNGO,https://coinmarketcap.com/currencies/mango-markets/,0.1371
Metadium,META,https://coinmarketcap.com/currencies/metadium/,0.0811
Prometeus,PROM,https://coinmarketcap.com/currencies/prometeus/,8.28
ASD,ASD,https://coinmarketcap.com/currencies/bitmax-token/,0.20
Radicle,RAD,https://coinmarketcap.com/currencies/radicle/,4.42
STASIS EURO,EURS,https://coinmarketcap.com/currencies/stasis-euro/,1.08
AVINOC,AVINOC,https://coinmarketcap.com/currencies/avinoc/,0.34
Standard Tokenization Protocol,STPT,https://coinmarketcap.com/currencies/standard-tokenization-protocol/,0.09
SifChain,erowan,https://coinmarketcap.com/currencies/sifchain/,0.12
SingularityNET,AGIX,https://coinmarketcap.com/currencies/singularitynet/,0.13
ssv.network,SSV,https://coinmarketcap.com/currencies/ssv-network/,13.24
QuarkChain,QKC,https://coinmarketcap.com/currencies/quarkchain/,0.02
Akash Network,AKT,https://coinmarketcap.com/currencies/akash-network/,1.16
MovieBloc,MBL,https://coinmarketcap.com/currencies/moviebloc/,0.01
sUSD,SUSD,https://coinmarketcap.com/currencies/susd/,1.00
Dawn Protocol,DAWN,https://coinmarketcap.com/currencies/dawn-protocol/,1.81
MaidSafeCoin,MAID,https://coinmarketcap.com/currencies/maidsafecoin/,0.29
Dusk Network,DUSK,https://coinmarketcap.com/currencies/dusk-network/,0.32
Rakon,RKN,https://coinmarketcap.com/currencies/rakon/,0.53
Band Protocol,BAND,https://coinmarketcap.com/currencies/band-protocol/,3.66
Venus,XVS,https://coinmarketcap.com/currencies/venus/,10.53
SOMESING,SSX,https://coinmarketcap.com/currencies/somesing/,0.05
Propy,PRO,https://coinmarketcap.com/currencies/propy/,1.72
Ergo,ERG,https://coinmarketcap.com/currencies/ergo/,3.96
Strike,STRK,https://coinmarketcap.com/currencies/strike/,40.02
RMRK,RMRK,https://coinmarketcap.com/currencies/rmrk/,13.05
Liquity,LQTY,https://coinmarketcap.com/currencies/liquity/,1.76
Sport and Leisure,SNL,https://coinmarketcap.com/currencies/sport-and-leisure/,0.18
OpenDAO,SOS,https://coinmarketcap.com/currencies/opendao/,0.00
Klever,KLV,https://coinmarketcap.com/currencies/klever/,0.04
PlatON,LAT,https://coinmarketcap.com/currencies/platon/,0.05
World Mobile Token,WMT,https://coinmarketcap.com/currencies/world-mobile-token/,0.49
Dvision Network,DVI,https://coinmarketcap.com/currencies/dvision-network/,0.36
FUNToken,FUN,https://coinmarketcap.com/currencies/funtoken/,0.01
Utrust,UTK,https://coinmarketcap.com/currencies/utrust/,0.25
Mask Network,MASK,https://coinmarketcap.com/currencies/mask-network/,4.05
JasmyCoin,JASMY,https://coinmarketcap.com/currencies/jasmy/,0.02
CENNZnet,CENNZ,https://coinmarketcap.com/currencies/centrality/,0.10
Polkastarter,POLS,https://coinmarketcap.com/currencies/polkastarter/,1.25
Bloktopia,BLOK,https://coinmarketcap.com/currencies/bloktopia/,0.01
Enzyme,MLN,https://coinmarketcap.com/currencies/enzyme/,55.02
Qredo,QRDO,https://coinmarketcap.com/currencies/qredo/,1.92
RSK Infrastructure Framework,RIF,https://coinmarketcap.com/currencies/rsk-infrastructure-framework/,0.13
Everipedia,IQ,https://coinmarketcap.com/currencies/everipedia/,0.01
Aavegotchi,GHST,https://coinmarketcap.com/currencies/aavegotchi/,1.89
Starlink,STARL,https://coinmarketcap.com/currencies/star-link/,0.00
Adshares,ADS,https://coinmarketcap.com/currencies/adshares/,4.44
Hoo Token,HOO,https://coinmarketcap.com/currencies/hoo-token/,1.34
TrueFi,TRU,https://coinmarketcap.com/currencies/truefi-token/,0.20
DeversiFi,DVF,https://coinmarketcap.com/currencies/deversifi/,4.52
GensoKishi Metaverse,MV,https://coinmarketcap.com/currencies/gensokishis-metaverse/,1.39
Badger DAO,BADGER,https://coinmarketcap.com/currencies/badger-dao/,8.66
Sperax,SPA,https://coinmarketcap.com/currencies/sperax/,0.15
Hyperion,HYN,https://coinmarketcap.com/currencies/hyperion/,0.53
KardiaChain,KAI,https://coinmarketcap.com/currencies/kardiachain/,0.03
DEAPcoin,DEP,https://coinmarketcap.com/currencies/deapcoin/,0.02
Centrifuge,CFG,https://coinmarketcap.com/currencies/centrifuge/,0.48
Marlin,POND,https://coinmarketcap.com/currencies/marlin/,0.03
Orion Protocol,ORN,https://coinmarketcap.com/currencies/orion-protocol/,3.08
ABBC Coin,ABBC,https://coinmarketcap.com/currencies/abbc-coin/,0.11
Proton,XPR,https://coinmarketcap.com/currencies/proton/,0.01
TomoChain,TOMO,https://coinmarketcap.com/currencies/tomochain/,1.16
Veritaseum,VERI,https://coinmarketcap.com/currencies/veritaseum/,48.64
YooShi,YOOSHI,https://coinmarketcap.com/currencies/yooshi/,0.00
Venus USDC,vUSDC,https://coinmarketcap.com/currencies/venus-usdc/,0.02
Balancer,BAL,https://coinmarketcap.com/currencies/balancer/,14.69
Mirror Protocol,MIR,https://coinmarketcap.com/currencies/mirror-protocol/,1.31
Freeway Token,FWT,https://coinmarketcap.com/currencies/freeway-token/,0.02
Shapeshift FOX Token,FOX,https://coinmarketcap.com/currencies/fox-token/,0.33
Beefy Finance,BIFI,https://coinmarketcap.com/currencies/beefy-finance/,1396.30
